Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5",Cap 100nf 0805,3,100n,
"C3, C4",CP_Elec_6.3x7.7,2,10u,
D1,SOD223,1,D_Zener,
D2,UV_LED,1,LED,
D3,1206,1,LED,
FB1,ferrite Bead,1,FerriteBead,
"J1, J2",FPC 2x7 p=1mm,2,Conn_01x14_Shielded,
J3,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det,
JP1,SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm,1,SolderJumper_3_Bridged12,
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
"Q1, Q2",SOT-23,2,LP2301LT1G,
R1,0603,1,10k,
R10,0603,1,1k,
R11,0603,1,1k,
R12,0805,1,30,
R2,0603,1,1k,
R3,0603,1,100,
R4,0603,1,1k,
R5,0603,1,1k,
R6,0603,1,4.7k,
R7,0603,1,4.7k,
R8,0603,1,100,
R9,0805,1,30,
SW1,Tactile Button,1,RESET,
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_D2.0mm,5,TestPoint,
U1,RPi_PicoW_SMD_TH,1,PicoW,
U2,LGA-14_2.5X3X0.86_,1,LSM6DSRTR,
U3,Vishay TCUT1350X01,1,Vishay_TCUT1350X01,
U4,VSSOP-8_2.3x2mm_P0.5mm,1,74LVC3G17,
