Designator,Mid X,Mid Y,Rotation,Layer
C1,15.0,5.1,270.0,top
C2,17.5,5.25,270.0,top
C3,11.0,42.5,0.0,top
C4,70.0,50.0,0.0,top
C5,54.75,52.0,0.0,top
D1,58.325,50.0,0.0,top
D2,41.0,7.5,270.0,top
D3,55.0,42.5,270.0,top
FB1,57.5,51.5,0.0,top
J1,62.5,29.1,90.0,top
J2,63.0,7.6,90.0,top
J3,45.5,45.0,180.0,top
Q1,4.0,40.0,90.0,top
Q2,59.5,47.0,270.0,top
R1,10.5,4.5,90.0,top
R10,73.5,12.5,90.0,top
R11,72.0,12.5,270.0,top
R12,64.5875,2.75,0.0,top
R2,60.562742,52.1125,90.0,top
R3,68.0,2.4125,0.0,top
R4,73.5,9.5,90.0,top
R5,72.0,9.5,90.0,top
R6,14.0,10.0,0.0,top
R7,17.0,10.0,0.0,top
R8,36.065,8.5,90.0,top
R9,55.0,47.0,90.0,top
SW1,30.5,42.5,90.0,top
U1,27.0,23.5,90.0,top
U2,15.5,7.0,0.0,top
U3,72.3,4.25,90.0,top
U4,58.0,4.25,0.0,top
